community,plot,number,species,family,dbh,height,ba
DEF,11,1582,Magnolia_garrettii,Magnoliaceae,0.64,3,0.321699088
MDF,14,179,Lagerstroemia_loudonii,Lythraceae,11.78,9,108.9884465
DEF,10,1010,Psychotria_sp.,Rubiaceae,0.96,2,0.723822947
DDF,5,2680,Wendlandia_tinctoria,Rubiaceae,5.41,7.5,22.98711199
DDF,5,2682,Aporosa_villosa,Phyllanthaceae,3.18,2,7.942260388
DDF,2,962,Tristaniopsis_burmanica,Myrtaceae,2.87,3.5,6.469246132
DDF,3,1295,Craibiodendron_stellatum,Ericaceae,6.05,3,28.74753628
DDF,3,1265,Shorea_obtusa,Dipterocarpaceae ,11.78,6,108.9884465
DDF,5,2686,Dipterocarpus_tuberculatus,Dipterocarpaceae ,7.96,4,49.76408427
DDF,4,2290,Shorea_siamensis,Dipterocarpaceae ,1.59,2.5,1.985565097
DEF,12,2006,Styrax_benzoides,Styracaceae,8.28,8,53.84564145
DDF,3,1305,Dipterocarpus_obtusifolius,Dipterocarpaceae ,49.36,11,1913.551625
DEF,12,2184,Shorea_roxburghii,Dipterocarpaceae ,37.26,23,1090.374239
DDF,5,2610,Quercus_kerrii,Fagaceae,1.27,2,1.266768698
DDF,2,1008,Quercus_kerrii,Fagaceae,2.87,2.5,6.469246132
DDF,4,2229,Dipterocarpus_tuberculatus,Dipterocarpaceae ,4.94,3.5,19.16654262
DDF,4,2412,Dalbergia_dongnaiensis,Fabacese,4.14,5,13.46141036
DDF,5,2807,Aporosa_villosa,Phyllanthaceae,0.96,1.6,0.723822947
DDF,2,1224,Craibiodendron_stellatum,Ericaceae,4.14,3,13.46141036
DEF,9,839,Turpinia_pomifera,Staphyleaceae,2.55,4,5.107051557
